ID,AllowableRace,Description_lang,Display3_lang,Display2_lang,Display1_lang,Display_lang,DmgVariance,DurationInInventory,QualityModifier,BagFamily,StartQuestID,ItemRange,StatPercentageOfSocket_0,StatPercentageOfSocket_1,StatPercentageOfSocket_2,StatPercentageOfSocket_3,StatPercentageOfSocket_4,StatPercentageOfSocket_5,StatPercentageOfSocket_6,StatPercentageOfSocket_7,StatPercentageOfSocket_8,StatPercentageOfSocket_9,StatPercentEditor_0,StatPercentEditor_1,StatPercentEditor_2,StatPercentEditor_3,StatPercentEditor_4,StatPercentEditor_5,StatPercentEditor_6,StatPercentEditor_7,StatPercentEditor_8,StatPercentEditor_9,Stackable,MaxCount,MinReputation,RequiredAbility,SellPrice,BuyPrice,VendorStackCount,PriceVariance,PriceRandomValue,Flags_0,Flags_1,Flags_2,Flags_3,OppositeFactionItemID,ModifiedCraftingReagentItemID,ContentTuningID,PlayerLevelToItemLevelCurveID,MaxDurability,ItemNameDescriptionID,RequiredTransmogHoliday,RequiredHoliday,LimitCategory,Gem_properties,Socket_match_enchantment_ID,TotemCategoryID,InstanceBound,ZoneBound_0,ZoneBound_1,ItemSet,LockID,PageID,ItemDelay,MinFactionID,RequiredSkillRank,RequiredSkill,ItemLevel,AllowableClass,ItemRandomSuffixGroupID,RandomSelect,MinDamage_0,MinDamage_1,MinDamage_2,MinDamage_3,MinDamage_4,MaxDamage_0,MaxDamage_1,MaxDamage_2,MaxDamage_3,MaxDamage_4,Resistances_0,Resistances_1,Resistances_2,Resistances_3,Resistances_4,Resistances_5,Resistances_6,ScalingStatDistributionID,StatModifier_bonusAmount_0,StatModifier_bonusAmount_1,StatModifier_bonusAmount_2,StatModifier_bonusAmount_3,StatModifier_bonusAmount_4,StatModifier_bonusAmount_5,StatModifier_bonusAmount_6,StatModifier_bonusAmount_7,StatModifier_bonusAmount_8,StatModifier_bonusAmount_9,ExpansionID,ArtifactID,SpellWeight,SpellWeightCategory,SocketType_0,SocketType_1,SocketType_2,SheatheType,Material,PageMaterialID,LanguageID,Bonding,DamageType,StatModifier_bonusStat_0,StatModifier_bonusStat_1,StatModifier_bonusStat_2,StatModifier_bonusStat_3,StatModifier_bonusStat_4,StatModifier_bonusStat_5,StatModifier_bonusStat_6,StatModifier_bonusStat_7,StatModifier_bonusStat_8,StatModifier_bonusStat_9,ContainerSlots,RequiredPVPMedal,RequiredPVPRank,InventoryType,OverallQualityID,AmmunitionType,RequiredLevel
720,-1,,,,,Brawler Gloves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1070,5350,1,1,1,0,24580,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,-1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,8,0,0,2,0,4,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,10,3,0,23
744,-1,,,,,Thunderbrew's Boot Flask,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10000,40000,1,1,1,0,24580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,4,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,12,2,0,0
753,-1,,,,,Dragonmaw Shortsword,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3842,19211,1,1,1,0,24580,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,0,28,-1,0,0,22,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,2,0,23
756,-1,,,,,Tunnel Pick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4963,24818,1,1,1,0,24580,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0,29,-1,0,0,49,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,1,1,0,0,2,0,7,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,17,2,0,24
776,-1,,,,,Vendetta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5765,28826,1,1,1,0,24580,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,31,-1,0,0,17,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,3,0,26
789,-1,,,,,Stout Battlehammer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1969,9847,1,1,1,0,24580,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,0,0,0,22,-1,0,5197,17,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,2,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,21,2,0,17
790,-1,,,,,Forester's Axe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,10101,1,1,1,0,24580,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,23,-1,0,5196,20,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,21,2,0,18
791,-1,,,,,Gnarled Ash Staff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7069,35347,1,1,1,0,24580,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,31,-1,0,0,65,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,2,2,0,0,2,0,6,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,17,3,0,26
863,-1,,,,,Gloom Reaper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8964,44820,1,1,1,0,24580,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,37,-1,0,5241,37,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,2,0,32
864,-1,,,,,Knightly Longsword,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9716,48580,1,1,1,0,24580,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,38,-1,0,5240,21,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,1,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,2,0,33
865,-1,,,,,Leaden Mace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5096,25480,1,1,1,0,24580,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2900,0,0,0,31,-1,0,5224,32,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,2,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,13,2,0,26
866,-1,,,,,Monk's Staff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16640,83204,1,1,1,0,24580,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,42,-1,0,5257,60,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,2,2,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,17,2,0,37
867,-1,,,,,Gloves of Holy Might,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5344,26720,1,1,1,0,24580,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-1,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,8,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,10,4,0,37
868,-1,,,,,Ardent Custodian,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21532,107664,1,1,1,0,24580,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,0,43,-1,0,0,48,0,0,0,0,90,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,3,2,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,21,4,0,38
